ID,Latitude,Longitude,LimitingMag
270462,39.9735,-105.509,5
270485,43.7974,-79.3465,5
270492,44.1978,-78.8782,5
270498,38.9072,-77.0369,5
270501,40.2106,-92.6304,5
270505,43.1638,-70.825,5
270529,35.187,-118.636,5
270536,40.2109,-92.6304,5
270551,40.1901,-92.6489,5
270552,40.1793,-92.6464,5
270553,40.184,-92.6434,5
270554,40.1884,-92.6414,5
270555,40.1708,-92.6593,5
270556,40.1566,-92.6222,5
270557,40.1704,-92.6179,5
270558,40.1841,-92.6238,5
270563,28.8372,-82.3109,5
270568,28.8372,-82.3109,5
270569,28.8372,-82.3109,5
270596,28.8628,-82.4722,5
270600,28.8278,-82.3305,5
270616,40.0799,-105.269,5
270653,39.9535,-105.333,5
270674,40.1359,-105.191,5
270681,39.9533,-105.334,5
270689,39.9535,-105.333,5
270696,39.9512,-105.337,5
270704,39.9939,-105.287,5
270710,40.0017,-105.307,5
270713,40.0017,-105.307,5
270716,40.0118,-105.255,5
270726,39.9912,-105.319,5
270745,41.4878,-71.5357,5
270785,29.8725,-98.6307,5
270789,35.5592,-121.08,5
270806,40.1867,-92.5827,5
270843,29.3235,47.936,5
270886,37.691,-97.4524,5
270905,35.2723,-120.887,5
270959,42.2611,-71.0824,5
270961,42.2611,-71.0824,5
270964,44.7946,-88.6512,5
270983,47.61,20.7279,5
270984,47.6102,20.7283,5
271053,52.2969,21.4577,5
271057,38.802,-77.1855,5
271085,38.802,-77.1855,5
271094,21.6026,70.5315,5
271103,16.1912,75.7003,5
271113,38.6929,-123.434,5
271200,35.0548,-89.2747,5
271202,35.0481,-89.2702,5
271406,44.1274,15.2478,5
271407,44.1274,15.2478,5
269242,38.4234,-85.798,4
269254,40.7986,-77.8673,4
269260,32.8797,-117.245,4
269264,33.6681,-117.327,4
269311,49.398,8.62507,4
269312,49.3369,8.90556,4
269325,47.1581,-122.153,4
269333,43.7115,-72.32,4
269342,26.1839,-80.1862,4
269354,40.7913,-77.8653,4
269366,34.8543,-78.8768,4
269372,40.7913,-77.8653,4
269373,40.7914,-77.8654,4
269381,40.9887,-75.2963,4
269384,41.6847,-71.8551,4
269395,10.3395,-61.3444,4
269401,43.7022,-72.2896,4
269425,-6.7319,-36.2669,4
269426,-6.73172,-36.2676,4
269427,-6.73155,-36.2678,4
269447,42.2152,-120.363,4
269448,42.1888,-120.346,4
269449,32.8503,-117.273,4
269451,40.9713,-75.3095,4
269452,40.7993,-77.8546,4
269459,47.3293,-122.58,4
269462,44.0876,-100.391,4
269464,42.1888,-120.346,4
269473,28.5578,-81.725,4
269478,40.7979,-77.8695,4
269491,36.7823,27.1435,4
269512,40.7993,-77.8546,4
269525,42.1532,-120.499,4
269526,36.1461,-86.8043,4
269527,40.7913,-77.8653,4
269528,40.7986,-77.8673,4
269539,44.9778,-93.265,4
269541,32.6706,-116.823,4
269543,37.6717,-89.2094,4
269550,-6.86752,-36.3571,4
269561,41.7265,-88.0004,4
269563,-41.0661,-73.4162,4
269590,39.4701,-86.416,4
269614,45.1075,-92.976,4
269615,30.2672,-97.7431,4
269628,32.8398,-117.245,4
269634,40.9714,-75.3095,4
269636,47.3293,-122.58,4
269679,35.3859,-94.3985,4
269680,35.3859,-94.3985,4
269687,44.9858,-93.3124,4
269726,35.3859,-94.3985,4
269748,43.6836,-70.451,4
269753,34.6981,-83.7259,4
269755,28.5578,-81.725,4
269756,32.572,-97.0639,4
269759,41.7407,-87.9785,4
269761,32.5475,-97.114,4
269768,47.2337,-122.44,4
269787,35.3859,-94.3985,4
269800,29.9923,30.9586,4
269814,41.4861,-71.5309,4
269822,41.4861,-71.5309,4
269830,40.7914,-77.8654,4
269843,36.3531,-119.339,4
269858,43.6836,-70.451,4
269861,44.5624,-88.0803,4
269862,38.1801,-85.6671,4
269869,41.2051,22.5786,4
269873,26.098,-80.4013,4
269881,33.9644,-98.6845,4
269882,33.9643,-98.6845,4
269884,40.3136,-105.163,4
269925,44.9754,-93.2363,4
269928,34.6981,-83.7259,4
